time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
136,3.877716601,5.129905424,2.570763892,2.322508637,0.00208629,-0.009425805,0.405338536,1.355908712,242,0
137,4.018493229,5.008534828,1.9727469,1.200343152,0.006362212,0.027083983,0.401720449,2.235104035,242,0
138,3.868177998,4.795396249,2.235150446,0.586697876,0.010638133,0.052081675,0.391852939,4.532591161,242,0
139,3.905345658,5.056885715,2.831522495,4.308553831,-0.001531797,-0.050869347,0.393826441,0.308636937,242,0
140,3.869493667,5.114117378,1.996601765,0.353907546,0.009980299,0.072145612,0.38955052,5.017415603,242,0
141,3.927712038,4.690800476,2.81342568,1.351698052,-0.000545046,0.025768315,0.391195105,4.982221422,242,0
142,3.841535693,5.069384583,2.752225545,0.015004324,0.004717627,0.064580521,0.381327595,5.571312942,242,0
143,3.934948219,5.070371336,4.077901032,1.050633428,0.009980299,0.057673264,0.391195105,3.046213736,242,0
144,3.964879699,5.040768752,2.203892339,1.430336801,0.006033295,0.023794813,0.395471026,3.332042807,242,0
145,3.912581839,5.04241334,2.46004434,2.194679423,0.008335714,-0.015017394,0.400075864,3.540247437,242,0
146,3.896135972,5.189768431,2.75995782,4.872189583,-0.00449205,-0.098562313,0.405009619,1.01317717,242,0
147,3.90501674,5.114775213,2.169672939,1.550598161,0.001757373,0.034320157,0.409614457,2.989968894,242,0
148,3.840548941,5.106881191,1.427869058,1.22370445,-0.008767971,0.026755066,0.405338536,4.060594653,267,0
149,3.807657208,4.64146285,2.484392769,3.215504144,0.005046544,-0.06369711,0.404351785,1.738439239,267,0
150,3.973102633,5.066424325,1.928656532,2.395389395,0.008006797,0.001757373,0.408298789,1.613450757,267,0
151,3.946460327,4.931897033,3.730441425,4.869886341,-0.005807718,-0.10546957,0.404680702,0.288244083,267,0
152,3.801736696,5.207201066,2.200931045,0.094630129,0.003730875,0.052739509,0.413232544,4.830261508,267,0
153,3.922120443,5.096026909,2.527002521,1.919937169,0.00767788,0.035306908,0.409614457,3.381051478,267,0
154,3.671814355,5.003601065,2.025556636,0.162575289,0.011295967,0.023136979,0.413232544,5.62393978,267,0
155,3.958959186,4.955908016,1.485778767,1.707711174,0.006691129,-0.001860714,0.414219295,3.496830356,267,0
156,3.831339256,4.960512862,2.451654003,0.974955991,0.006691129,0.030044236,0.407969872,3.584322353,267,0
157,3.847127288,4.935515126,1.68418535,0.069459162,0.002415207,0.041885248,0.414548212,5.458494165,267,0
158,3.87409851,5.120366813,2.810628899,3.144597487,0.004388709,-0.025213821,0.412903627,2.945565073,267,0
159,4.004020865,4.82730125,2.527496071,1.949056553,0.004059792,0.061291351,0.418824133,1.754556175,267,0
160,3.8852817,5.12628733,3.136865207,2.32234412,0.002744124,-0.051527181,0.422771137,2.675524073,283,0
161,3.971458046,5.079252112,2.247982722,1.899372632,0.015900805,0.028728568,0.431322979,1.576940965,283,0
162,3.988561749,5.14010187,1.311227066,4.864950823,0.016558639,-0.046593426,0.41915305,-0.344921151,283,0
163,3.834628429,4.849996561,0.003159162,4.532132531,0.000770622,-0.029160825,0.421126552,-0.270585907,283,0
164,4.024084825,4.535880336,2.541644483,0.596568844,0.011953801,0.009651382,0.417179548,4.838813364,283,0
165,3.8852817,5.040439835,1.961559792,0.405894644,0.006033295,0.042543082,0.415534963,5.144377799,283,0
166,3.976391807,4.873349707,3.565102078,2.235479479,0.008993548,0.057344347,0.413561461,4.065199497,283,0
167,3.877716601,4.832892848,3.181120172,1.428362606,0.011295967,0.071487778,0.408627706,3.980667732,283,0
168,3.932316881,5.487767841,2.673093122,1.881604873,0.001099539,0.009651382,0.40928554,1.789421384,283,0
169,3.830352504,4.812171043,1.641246608,4.885844517,0.007348963,-0.049882596,0.405009619,-1.100114643,283,0
170,3.925738533,4.98518168,2.565499366,2.591657479,0.005046544,-0.025213821,0.406983121,1.690417348,296,1
171,3.949420583,5.220357771,2.653186631,3.696550967,0.014914054,-0.056132019,0.392510773,0.159637535,296,1
172,3.924751781,4.835195271,2.11933094,3.017919723,0.002744124,0.007020046,0.406325287,1.186187524,296,1
173,3.756346105,4.886506409,2.098437366,2.250614984,0.005375461,0.051423841,0.405009619,4.135916735,296,1
174,3.91619993,5.139772952,2.745644886,2.515486372,0.004388709,0.039253912,0.406654204,2.038082694,296,1
175,3.822458488,5.021362614,2.747454567,0.377268837,0.004388709,0.059317849,0.404022868,4.339187697,296,1
176,3.900411897,4.78454197,2.130189018,3.512785759,0.001428456,0.018532141,0.402049366,0.686233659,296,1
177,3.795487266,5.159179092,2.107156731,3.295952776,0.007020046,-0.051856098,0.404022868,1.48944903,296,1
178,3.889886542,5.14010187,3.479882417,3.54387942,-0.001860714,-0.065012778,0.401062615,1.886123002,296,1
179,3.881334691,4.953605593,3.456685562,2.283847289,0.001757373,0.004717627,0.393497524,2.409759023,296,1
180,3.892846798,5.485794334,1.566062686,3.010680995,-0.014688477,-0.032778912,0.407312038,1.62101585,296,1
181,3.995797931,5.043729011,2.337479627,0.873614036,0.006033295,0.091551715,0.42244222,2.848534503,296,1
182,4.007967874,5.008863746,1.55586268,2.162927769,0.003073041,-0.031792161,0.408956623,4.105656335,296,1
183,3.978365311,5.229567465,2.575205835,2.684115725,0.008006797,0.032017738,0.405009619,3.192910815,296,1
184,4.076711605,5.093395569,4.281408523,1.903814572,0.009980299,0.051094924,0.403365034,3.849758627,296,1
185,3.912252922,4.996693795,3.32326254,3.987087698,0.004717627,-0.08573455,0.402378283,1.006927747,296,1
186,4.094473144,5.126616247,1.950372683,3.042761724,0.008664631,-0.01764873,0.399089113,2.939973481,296,1
187,3.889228708,5.07398943,1.985579172,2.272331144,0.009322465,-0.01764873,0.403693951,3.381380395,296,1
188,3.982970154,5.12628733,2.035756647,2.284176322,0.00208629,0.019847809,0.4027072,3.906661327,296,1
189,3.920804773,5.071687007,2.567309047,1.214491544,-0.001860714,0.071158861,0.408298789,5.048333857,296,1
190,3.845153784,4.989786526,3.200039582,3.619392603,-0.002189631,-0.042646422,0.400404781,0.541510176,301,1
191,3.92738312,4.985510598,2.738735194,2.324811866,0.007348963,0.001757373,0.399746947,2.754135274,301,1
192,3.962906195,4.842760375,4.029533058,4.055362214,-0.001860714,-0.086063467,0.399746947,0.398431279,301,1
193,3.910608335,5.138786199,2.813096647,4.869392789,0.014585137,-0.066657363,0.4027072,-0.826784585,301,1
194,3.944486823,4.981563587,1.523288466,1.137497969,-0.007452303,0.064580521,0.396786694,3.820156066,301,1
195,3.922120443,5.029914472,2.344882864,0.461501096,0.010309216,0.079710703,0.401391532,5.161810433,301,1
196,3.881663609,4.832235013,2.953922786,4.858041097,0.002415207,-0.069946533,0.392181856,1.047713457,301,1
197,3.949420583,4.909859556,1.68286922,0.765197891,0.013269469,0.029057485,0.395142109,2.90839743,301,1
198,3.967511038,5.000969724,1.841133867,4.875644446,0.011624884,-0.083761048,0.381656512,0.707942181,301,1
199,4.057963314,5.297653419,2.314118301,2.960996997,0.001099539,-0.00449205,0.37968301,0.035964742,301,1
200,3.926067451,5.031887977,1.869924217,0.308665611,-0.000545046,0.012611635,0.372446836,4.965117708,301,1
